tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
10.0,14.36683417085427,4.1556988469563484e-05,1.6134627707562204,0.0021826447283974874,1.1990661940690113
10.0,14.462311557788944,3.1622776601683795e-05,1.7863122476748976,0.00032245905452963947,1.3825091238918317
10.0,14.557788944723617,3.625117049988535e-05,1.6133904471813987,0.0019039740150507663,1.197977084930951
10.0,14.65326633165829,3.1622776601683795e-05,1.7763580141519424,0.00028128886609642633,1.378683562554517
10.0,14.748743718592964,3.1622776601683795e-05,1.6132627159518522,0.0016608827826277166,1.1969345555019562
10.0,14.844221105527637,3.1622776601683795e-05,1.766244248339599,0.00024537511066398166,1.374946853815611
10.0,14.93969849246231,3.1622776601683795e-05,1.6120239244883612,0.0014488283956730537,1.1959400975469874
10.0,15.035175879396984,3.1622776601683795e-05,1.756697400788116,0.00024537511066398166,1.3713520723690489
10.0,15.130653266331658,3.1622776601683795e-05,1.6100037959710622,0.0012638482029342971,1.1949940723305086
10.0,15.226130653266331,3.1622776601683795e-05,1.7482048986933125,0.0002140466694217523,1.367866695110433
10.0,15.321608040201005,3.1622776601683795e-05,1.6074708327682297,0.0011024854874674263,1.194095878069399
10.0,15.417085427135678,3.1622776601683795e-05,1.7410280856429567,0.00018671810912919206,1.3644514920655773
10.0,15.512562814070352,3.1622776601683795e-05,1.6047974179412108,0.0009617248711152964,1.1932441143833312
10.0,15.608040201005025,3.1622776601683795e-05,1.7348924600180142,0.00016287874214985498,1.36110576764674
10.0,15.703517587939698,3.1622776601683795e-05,1.6024095396907323,0.0008389359662650986,1.1924367336481396
10.0,15.798994974874372,3.1622776601683795e-05,1.7289550312453765,0.00016287874214985498,1.3578953837082433
10.0,15.894472361809045,3.1622776601683795e-05,1.6007960147147817,0.0007318242219076182,1.1916711678297078
10.0,15.989949748743719,3.1622776601683795e-05,1.7223172530445727,0.00014208308325339223,1.3547531508411563
10.0,16.085427135678394,4.1556988469563484e-05,1.6012746577885628,0.0006383880454607353,1.1909444360891588
10.0,16.180904522613066,3.1622776601683795e-05,1.7146333298167868,0.00012394252485211965,1.351669727517068
10.0,16.276381909547737,3.625117049988535e-05,1.602079470519299,0.0005568813990945267,1.1902532532960781
10.0,16.371859296482413,3.1622776601683795e-05,1.7062476071730892,0.00012394252485211965,1.3486498132039584
10.0,16.467336683417084,3.1622776601683795e-05,1.6028314739043814,0.00048578117159706736,1.189594150571109
10.0,16.562814070351756,3.1622776601683795e-05,1.6978289978228833,0.00010811807510766077,1.3457474466140826
10.0,16.65829145728643,3.1622776601683795e-05,1.6022007872269697,0.0004237587160604063,1.1889635923572648
10.0,16.753768844221106,3.1622776601683795e-05,1.6899562467281632,9.431402320497317e-05,1.3428966169703411
10.0,16.849246231155778,3.1622776601683795e-05,1.598696919624999,0.0003696550215126699,1.1883580597681933
10.0,16.94472361809045,3.1622776601683795e-05,1.682941887309335,8.227241341700473e-05,1.3400992198427741
10.0,17.040201005025125,3.1622776601683795e-05,1.5927959911331775,0.0003696550215126699,1.1877916129947905
10.0,17.1356783919598,3.1622776601683795e-05,1.6767751769979085,7.176822469706299e-05,1.3373568140066479
10.0,17.231155778894472,3.1622776601683795e-05,1.5856511497295769,0.00032245905452963947,1.1872482391665695
10.0,17.326633165829143,3.1622776601683795e-05,1.6711275962867949,7.176822469706299e-05,1.3347093698958457
10.0,17.42211055276382,3.1622776601683795e-05,1.578139457399014,0.00028128886609642633,1.1867245295689244
10.0,17.51758793969849,3.1622776601683795e-05,1.66552323206355,6.260516572014815e-05,1.3321184479674617
10.0,17.613065326633166,3.1622776601683795e-05,1.5707592066186902,0.00024537511066398166,1.186217300784742
10.0,17.708542713567837,3.1622776601683795e-05,1.6596179561606266,5.4612006795364095e-05,1.329577218660116
10.0,17.804020100502512,3.1622776601683795e-05,1.5639087386569042,0.0002140466694217523,1.1857234219858457
10.0,17.899497487437184,3.1622776601683795e-05,1.6533862335548832,4.7639380104013405e-05,1.3270867844943501
10.0,17.99497487437186,3.1622776601683795e-05,1.5580335809118206,0.00018671810912919206,1.1852398509553144
10.0,18.09045226130653,3.1622776601683795e-05,1.6470886890858,4.1556988469563484e-05,1.3246478295557371
10.0,18.185929648241206,3.1622776601683795e-05,1.5534641016125998,0.00016287874214985498,1.1847637104995967
10.0,18.281407035175878,3.1622776601683795e-05,1.6410708283167446,4.1556988469563484e-05,1.3222885238936937
10.0,18.376884422110553,3.1622776601683795e-05,1.5500063910427437,0.00014208308325339223,1.1842923707300237
10.0,18.472361809045225,3.1622776601683795e-05,1.635557820973246,3.625117049988535e-05,1.3199798431879792
10.0,18.5678391959799,3.1622776601683795e-05,1.546807794878723,0.00012394252485211965,1.1838234904594436
10.0,18.66331658291457,3.1622776601683795e-05,1.6305630686146872,3.1622776601683795e-05,1.3177173421840682
10.0,18.758793969849247,3.1622776601683795e-05,1.5428329059504793,0.00012394252485211965,1.1833740621137947
10.0,18.85427135678392,3.1622776601683795e-05,1.6259159317718734,3.1622776601683795e-05,1.315439506665119
10.0,18.949748743718594,3.1622776601683795e-05,1.5375427995617663,0.00010811807510766077,1.1829534193048765
10.0,19.045226130653266,3.1622776601683795e-05,1.6213695746450694,3.1622776601683795e-05,1.3130550627284867
10.0,19.14070351758794,3.1622776601683795e-05,1.5311385650034826,9.431402320497317e-05,1.1825329295077391
10.0,19.236180904522612,3.1622776601683795e-05,1.6167368427817594,3.1622776601683795e-05,1.3105455568424873
10.0,19.331658291457288,3.1622776601683795e-05,1.5242288100385823,8.227241341700473e-05,1.1821108073695812
10.0,19.42713567839196,3.1622776601683795e-05,1.6119838630091707,3.1622776601683795e-05,1.3079208052218236
10.0,19.52261306532663,3.1622776601683795e-05,1.517385724029857,7.176822469706299e-05,1.181685384871066
10.0,19.618090452261306,3.1622776601683795e-05,1.6072268993110583,3.1622776601683795e-05,1.3052118509678206
10.0,19.713567839195978,3.1622776601683795e-05,1.5110176728103306,6.260516572014815e-05,1.1812550356325342
10.0,19.809045226130653,3.1622776601683795e-05,1.6026373637782583,3.1622776601683795e-05,1.3024514383398265
10.0,19.904522613065325,3.1622776601683795e-05,1.5054220827047438,6.260516572014815e-05,1.180825561578818
10.0,20.0,3.1622776601683795e-05,1.5983253656315661,3.1622776601683795e-05,1.299656101887603
600.0,1.0,3.1622776601683795e-05,1.5007230537009009,5.4612006795364095e-05,1.180437963337683
600.0,1.0954773869346734,3.1622776601683795e-05,1.5942815100609877,3.1622776601683795e-05,1.2968206040757637
600.0,1.1909547738693467,3.1622776601683795e-05,1.4967383637811118,4.7639380104013405e-05,1.1800445162652002
600.0,1.2864321608040201,3.1622776601683795e-05,1.5903991061993712,3.1622776601683795e-05,1.2939249854461117
600.0,1.3819095477386933,3.1622776601683795e-05,1.4930042996174682,4.1556988469563484e-05,1.1796437153203982
600.0,1.4773869346733668,3.1622776601683795e-05,1.5865437121253945,3.1622776601683795e-05,1.290947966310788
600.0,1.5728643216080402,3.1622776601683795e-05,1.4890154097411834,3.625117049988535e-05,1.1792341618442022
